1500,biały,white,#e6e5e3
1501,cytrynowy najjaśniejszy,lemon ultra light,#e0d17c
1502,cytrynowy jasny,lemon light,#dcd65c
1503,cytrynowy,lemon,#e0c51c
1504,cytrynowy ciemny,lemon dark,#e2b71d
1505,cytrynowy bardzo ciemny,lemon very dark,#dea91f
1506,cytrynowy najciemniejszy,lemon ultra dark,#de8b21
1507,żółty pastelowy najjaśniejszy,pastel yellow ultra light,#e4dabf
1508,żółty pastelowy jasny,pastel yellow light,#e2c76c
1509,żółty pastelowy,pastel yellow,#e1a632
1510,żółty pastelowy ciemny,pastel yellow,#df8e25
1511,żółty pastelowy najciemniejszy,pastel yellow ultra dark,#d66523
1512,słoneczny najjaśniejszy,sunny ultra light,#e1d297
1513,słoneczny jasny,sunny light,#e4ca5b
1514,pomarańczowy bardzo jasny,orange very light,#e4b332
1515,pomarańczowy jasny,orange light,#e38d2a
1516,pomarańczowy,orange,#df6e2a
1517,pomarańczowy ciemny,orange dark,#db522e
1518,mandarynkowy bardzo jasny,tangerine very light,#db4d39
1519,mandarynkowy jasny,tangerine light,#d9302d
1520,mandarynkowy,tangerine,#cd3230
1521,mandarynkowy ciemny,tangerine dark,#d73230
1522,jaskrawy pomarańczowy,bright orange,#dc412b
1523,jaskrawy pomarańczowy średni,bright orange medium,#da4e2d
1524,morelowy najjaśniejszy,apricot ultra light,#ddd0bd
1525,morelowy bardzo jasny,apricot very light,#e0bd95
1526,morelowy jasny,apricot light,#dc9b5b
1527,morelowy,apricot,#df6a35
1528,morelowy ciemny,apricot dark,#db462e
1529,morelowy bardzo ciemny,apricot very dark,#d23931
1530,morelowy najciemniejszy,apricot ultra dark,#c32931
1531,miedziany bardzo jasny,red copper very light,#e1833b
1532,miedziany jasny,red copper light,#d97730
1533,miedziany,red copper,#d4562e
1534,miedziany średni,red copper medium,#d73f31
1535,miedziany ciemny,red copper dark,#c43232
1536,łososiowy jasny,salmon light,#f39b83
1537,łososiowy,pink,#f69b66
1538,łososiowy ciemny,salmon dark,#f15e54
1539,koralowy jasny,coral light,#e24558
1540,koralowy,coral,#e5282e
1541,koralowy średni,coral medium,#dc212c
1542,koralowy ciemny,coral dark,#c9222c
1543,melon jasny,melon light,#f4cbd1
1544,melon,melon,#f99a7c
1545,melon średni,melon medium,#ec4771
1546,melon ciemny,melon dark,#e91d36
1547,czerwień świąteczna jasna,christmas red light,#db1e30
1548,czerwień świąteczna,christmas red,#c4222f
1549,różowy jasny,pink light,#f183a6
1550,różowy,pink,#f45c99
1551,różowy ciemny,pink dark,#ed2264
1552,różowy najciemniejszy,pink ultra dark,#ee1f3b
1553,jasna czerwień,light red,#e71e28
1554,czerwień,red,#cf1f29
1555,czerwień ciemna,christmas red dark,#ad242e
1556,owoc granatu średni,garnet medium,#922731
1557,owoc granatu ciemny,garnet dark,#79262e
1558,żurawinowy najjaśniejszy,cranberry ultra light,#f27096
1559,żurawinowy jasny,cranberry light,#f02960
1560,żurawinowy średni,cranberry medium,#e41a4a
1561,żurawinowy ciemny,cranberry dark,#bd2244
1562,żurawinowy,cranberry,#ed1f43
1563,malinowy,raspberry,#c92435
1564,malinowy najjaśniejszy,raspberry ultra light,#f282a8
1565,malinowy jasny,raspberry light,#e13f6e
