number,name,rgb
1,White Tin,#d2d1cf
2,Tin,#cdcccc
3,Medium Tin,#b4b4b7
4,Dark Tin,#757174
5,Light Driftwood,#cebfb4
6,Medium Light Driftwood,#cdbdaf
7,Driftwood,#a08876
8,Dark Driftwood,#6f5745
9,Very Dark Cocoa,#473332
10,Very Light Tender Green,#e8e3b6
11,Light Tender Green,#ebe384
12,Tender Green,#d7d34d
13,Medium Light Nile Green,#a8cd9f
14,Pale Apple Green,#e0ebab
15,Apple Green,#d6df8c
16,Light Chartreuse,#c0d05a
17,Light Yellow Plum,#edd459
18,Yellow Plum,#ebd148
19,Medium Light Autumn Gold,#facf6e
20,Shrimp,#fad1b3
21,Light Alizarin,#c57860
22,Alizarin,#b13e35
23,Apple Blossom,#f6e3e2
24,White Lavender,#eee2ea
25,Ultra Light Lavender,#d8d0db
26,Pale Lavender,#cdcbe0
27,White Violet,#e0dee2
28,Medium Light Eggplant,#82758e
29,Eggplant,#42304b
30,Medium Light Blueberry,#928bb5
31,Blueberry,#535282
32,Dark Blueberry,#42426f
33,Fuchsia,#985188
34,Dark Fuchsia,#7c285c
35,Very Dark Fuchsia,#521334
150,Ultra Very Dark Dusty Rose,#ab0249
151,Very Light Dusty Rose,#f0ced4
152,Medium Light Shell Pink,#e2a099
153,Very Light Violet,#e6ccd9
154,Very Dark Grape,#572433
155,Medium Dark Blue Violet,#9891b6
156,Medium Light Blue Violet,#a3aed1
157,Very Light Cornflower Blue,#bbc3d9
158,Medium Very Dark Cornflower Blue,#4c526e
159,Light Gray Blue,#c7cad7
160,Medium Gray Blue,#999fb7
161,Gray Blue,#7880a4
162,Ultra Very Light Blue,#dbecf5
163,Medium Caledon Green,#4d8361
164,Light Forest Green,#c8d8b8
165,Very Light Moss Green,#eff4a4
166,Medium Light Moss Green,#c0c840
167,Very Dark Yellow Beige,#a77c49
168,Very Light Pewter,#d1d1d1
169,Light Pewter,#848484
208,Very Dark Lavender,#835b8b
209,Dark Lavender,#a37ba7
210,Medium Lavender,#d29fc3
211,Light Lavender,#e3cbe3
221,Very Dark Shell Pink,#883e45
223,Light Shell Pink,#cc847c
224,Very Light Shell Pink,#ebb7af
225,Ultra Very Light Shell Pink,#ffdfd7
300,Very Dark Mahogany,#6f2f00
301,Medium Mahogany,#b35f2b
304,Medium Red,#b71f33
307,Lemon,#fded54
309,Ultra Very Dark Rose,#ba4a4a
310,Black,#000000
311,Medium Navy Blue,#1c5066
312,Very Dark Baby Blue,#35668b
315,Medium Dark Antique Mauve,#814952
316,Medium Antique Mauve,#b7737f
317,Pewter Gray,#6c6c6c
318,Light Steel Gray,#ababab
319,Very Dark Pistachio Green,#205f2e
320,Medium Pistachio Green,#69885a
321,Red,#c72b3b
322,Dark Baby Blue,#5a8fb8
326,Very Dark Rose,#b33b4b
327,Dark Violet,#633666
333,Very Dark Blue Violet,#5c5478
334,Medium Baby Blue,#739fc1
335,Rose,#ee546e
336,Navy Blue,#253b73
340,Medium Blue Violet,#ada7c7
341,Light Blue Violet,#b7bfdd
347,Very Dark Salmon,#bf2d2d
349,Dark Coral,#d21035
350,Medium Coral,#e04848
351,Coral,#e96a67
352,Light Coral,#fd9c97
353,Peach,#fed7cc
355,Dark Terra Cotta,#984436
356,Medium Terra Cotta,#c56a5b
367,Dark Pistachio Green,#617a52
368,Light Pistachio Green,#a6c298
369,Very Light Pistachio Green,#d7edcc
370,Medium Mustard,#b89d64
371,Mustard,#bfa671
372,Light Mustard,#ccb784
400,Dark Mahogany,#8f430f
402,Very Light Mahogany,#f7a777
407,Dark Desert Sand,#bb8161
413,Dark Pewter Gray,#565656
414,Dark Steel Gray,#8c8c8c
415,Pearl Gray,#d3d3d6
420,Dark Hazelnut Brown,#a07042
422,Light Hazelnut Brown,#c69f7b
433,Medium Brown,#7a451f
434,Light Brown,#985e35
435,Very Light Brown,#b87748
436,Tan,#cb9051
437,Light Tan,#e4bb8e
444,Dark Lemon,#ffd600
445,Light Lemon,#fffb8b
451,Dark Shell Gray,#917b73
452,Medium Shell Gray,#c0b3ae
453,Light Shell Gray,#d7cecb
469,Avocado Green,#72843c
470,Light Avocado Green,#94ab4f
471,Very Light Avocado Green,#aebf79
472,Ultra Light Avocado Green,#d8e498
498,Dark Red,#a7132b
500,Very Dark Blue Green,#044d33
501,Dark Blue Green,#396f52
502,Blue Green,#5b9071
503,Medium Blue Green,#7bac94
504,Very Light Blue Green,#c4decc
505,Jade Green,#338362
517,Dark Wedgwood,#3b768f
518,Light Wedgwood,#4f93a7
519,Sky Blue,#7eb1c8
520,Dark Fern Green,#666d4f
522,Fern Green,#969e7e
523,Light Fern Green,#abb197
524,Very Light Fern Green,#c4cdac
535,Very Light Ash Gray,#636458
543,Ultra Very Light Beige,#f2e3ce
550,Very Dark Violet,#5c184e
552,Medium Violet,#803a6b
553,Violet,#a3638b
554,Light Violet,#dbb3cb
561,Very Dark Jade,#2c6a45
562,Medium Jade,#53976a
563,Light Jade,#8fc098
564,Very Light Jade,#a7cdaf
580,Dark Moss Green,#888d33
581,Moss Green,#a7ae38
597,Turquoise,#5ba3b3
598,Light Turquoise,#90c3cc
600,Very Dark Cranberry,#cd2f63
601,Dark Cranberry,#d1286a
602,Medium Cranberry,#e24874
603,Cranberry,#ffa4be
604,Light Cranberry,#ffb0be
605,Very Light Cranberry,#ffc0cd
606,Bright Orange-Red,#fa3203
608,Bright Orange,#fd5d35
610,Dark Drab Brown,#796047
611,Drab Brown,#967656
612,Light Drab Brown,#bc9a78
613,Very Light Drab Brown,#dcc4aa
632,Ultra Very Dark Desert Sand,#875539
640,Very Dark Beige Gray,#857b61
642,Dark Beige Gray,#a49878
644,Medium Beige Gray,#ddd8cb
645,Very Dark Beaver Gray,#6e655c
646,Dark Beaver Gray,#877d73
647,Medium Beaver Gray,#b0a69c
648,Light Beaver Gray,#bcb4ac
666,Bright Red,#e31d42
676,Light Old Gold,#e5ce97
677,Very Light Old Gold,#f5eccb
680,Dark Old Gold,#bc8d0e
699,Green,#56517
700,Bright Green,#07731b
701,Light Green,#3f8f29
702,Kelly Green,#47a72f
703,Chartreuse,#7bb547
704,Bright Chartreuse,#9ecf34
712,Cream,#fffbef
718,Plum,#9c2462
720,Dark Orange Spice,#e55c1f
721,Medium Orange Spice,#f27842
722,Light Orange Spice,#f7976f
725,Medium Light Topaz,#ffc840
726,Light Topaz,#fdd755
727,Very Light Topaz,#fff1af
728,Topaz,#e4b468
729,Medium Old Gold,#d0a53e
730,Very Dark Olive Green,#827b30
731,Dark Olive Green,#938b37
732,Olive Green,#948c36
733,Medium Olive Green,#bcb34c
734,Light Olive Green,#c7c077
738,Very Light Tan,#eccc9e
739,Ultra Very Light Tan,#f8e4c8
740,Tangerine,#ff8b00
741,Medium Tangerine,#ffa32b
742,Light Tangerine,#ffbf57
743,Medium Yellow,#fed376
744,Pale Yellow,#ffe793
745,Light Pale Yellow,#ffe9ad
746,Off White,#fcfcee
747,Very Light Sky Blue,#e5fcfd
754,Light Peach,#f7cbbf
758,Very Light Terra Cotta,#eeaa9b
760,Salmon,#f5adad
761,Light Salmon,#ffc9c9
762,Very Light Pearl Gray,#ececec
772,Very Light Yellow Green,#e4ecd4
775,Very Light Baby Blue,#d9ebf1
776,Medium Pink,#fcb0b9
777,Very Dark Raspberry,#913546
778,Very Light Antique Mauve,#dfb3bb
779,Dark Cocoa,#624b45
780,Ultra Very Dark Topaz,#94631a
781,Very Dark Topaz,#a26d20
782,Dark Topaz,#ae7720
783,Medium Topaz,#ce9124
791,Very Dark Cornflower Blue,#464563
792,Dark Cornflower Blue,#555b7b
793,Medium Cornflower Blue,#707da2
794,Light Cornflower Blue,#8f9cc1
796,Dark Royal Blue,#11416d
797,Royal Blue,#13477d
798,Dark Delft Blue,#466a8e
799,Medium Delft Blue,#748eb6
800,Pale Delft Blue,#c0ccde
801,Dark Coffee Brown,#653919
803,Ultra Very Dark Baby Blue,#2c597c
806,Medium Dark Wedgwood,#3d95a5
